Album,Artist Name,type
The North Star Grassman and the Ravens,Sandy Denny,CD
Here Come the Lords,Lords of the Underground,CD
Teethed Glory and Injury,Altar of Plagues,CD
Rythmes contemporains,Janko Nilovic,CD
The Tired Sounds Of,Stars of the Lid,CD
Citadel,Ne Obliviscaris,CD
Häntä koipien välissä,Leevi and the Leavings,CD
The Mountain Queen,Alquin,CD
Amplifier Worship,Boris,CD
West Side Soul,Magic Sam Blues Band,CD
Contemporary Movement,Duster,CD
Spem in alium,The Tallis Scholars / Peter Phillips,CD
The Devil's Playground,Da Koopsta Knicca,CD
Wintersun,Wintersun,CD
The Dwelling,Sabbat,CD
Blues & Roots,Charlie Mingus,CD
Ventura,Los Hermanos,CD
John Peel Sessions,The Chameleons,CD
Ruby Vroom,Soul Coughing,CD
Miles,Blu & Exile,CD
Horses,Patti Smith,CD
A Man and the Blues,Buddy Guy,CD
Out There,Eric Dolphy,CD
Dire Straits,Dire Straits,CD
Choir Concerto,Russian State Symphonic Cappella / Valery Polyansky,CD
...And Out Come the Wolves,Rancid,CD
Tapestry,Carole King,CD
Screaming for Vengeance,Judas Priest,CD
Tales of Mystery and Imagination,The Alan Parsons Project,CD
Diabolical Summoning,Sinister,CD
"Parsley, Sage, Rosemary and Thyme",Simon and Garfunkel,CD
Hybris,Änglagård,CD
Show No Mercy,Slayer,CD
Montrose,Montrose,CD
Stankonia,OutKast,CD
The Number of the Beast,Iron Maiden,CD
Róka Hasa Rádió,Thy Catafalque,CD
Pleasure to Kill,Kreator,CD
Our Mother the Mountain,Townes Van Zandt,CD
0,青葉市子 [Ichiko Aoba],CD
Hosianna Mantra,Popol Vuh,CD
Blissard,Motorpsycho,CD
Ritual de lo habitual,Jane's Addiction,CD
Blasphemy Made Flesh,Cryptopsy,CD
Symbol of Salvation,Armored Saint,CD
A Dawn to Fear,Cult of Luna,CD
Art Blakey's Jazz Messengers With Thelonious Monk,Art Blakey's Jazz Messengers With Thelonious Monk,CD
Resurrection,Common Sense,CD
Winterkaelte,Paysage d'Hiver,CD
Saxophone Colossus,Sonny Rollins,CD
Radio City,Big Star,CD
Oneirology,CunninLynguists,CD
Figure 8,Elliott Smith,CD
A Christmas Gift for You From Philles Records,Various Artists,CD
Uncle Meat,The Mothers of Invention,CD
Black Unity,Pharoah Sanders,CD
GP,Gram Parsons,CD
Cantigas do Maio,José Afonso,CD
Bass Culture,Linton Kwesi Johnson,CD
America,John Fahey,CD
Gun,Gun,CD
Illegal Business?,Mac Mall,CD
Afrociberdelia,Chico Science & Nação Zumbi,CD
The Only Truth,Morly Grey,CD
Cello-Suiten,Mstislav Rostropovich,CD
Wave Notation 1: Music for Nine Post Cards,吉村弘 [Hiroshi Yoshimura],CD
Photo-Finish,Rory Gallagher,CD
Half-Mute,Tuxedomoon,CD
Alien,Jerry Goldsmith,CD
Like a Ship... (Without a Sail),Pastor T.L. Barrett and the Youth for Christ Choir,CD
"New York, Fall 1974",Anthony Braxton,CD
"Ella Fitzgerald Sings the Duke Ellington Song Book, Vol. 1",Ella Fitzgerald with Duke Ellington and His Orchestra,CD
Teen Dream,Beach House,CD
Ga Ga Ga Ga Ga,Spoon,CD
Danzig,Danzig,CD
Kiko,Los Lobos,CD
The Godfather,Nino Rota,CD
Happy Bivouac,the pillows,CD
Skeleton Tree,Nick Cave & The Bad Seeds,CD
For Philip Guston,The California EAR Unit,CD
Thunder and Lightning,Thin Lizzy,CD
People's Instinctive Travels and the Paths of Rhythm,A Tribe Called Quest,CD
Dots and Loops,Stereolab,CD
無罪モラトリアム (Muzai moratorium),椎名林檎 [Sheena Ringo],CD
A Farewell to Kings,Rush,CD
Into the Everflow,Psychotic Waltz,CD
Ocean Beach,Red House Painters,CD
Seventh Sojourn,The Moody Blues,CD
Thelonious Alone in San Francisco,Thelonious Monk,CD
Effigy of the Forgotten,Suffocation,CD
Fresh Fruit for Rotting Vegetables,Dead Kennedys,CD
Remember the Future,Nektar,CD
Batman,Danny Elfman,CD
Clear Spot,Captain Beefheart and The Magic Band,CD
Ben,Jorge Ben,CD
3 + 3,The Isley Brothers,CD
