Series_Title,Director,type
Dazed and Confused,Richard Linklater,DVD
There Will Be Blood,Paul Thomas Anderson,DVD
Sweet Smell of Success,Alexander Mackendrick,DVD
Zulu,Cy Endfield,DVD
The Elephant Man,David Lynch,DVD
The Exorcist,William Friedkin,DVD
The Day the Earth Stood Still,Robert Wise,DVD
Spoorloos,George Sluizer,DVD
Tombstone,George P. Cosmatos,DVD
Die Welle,Dennis Gansel,DVD
Bhaag Milkha Bhaag,Rakeysh Omprakash Mehra,DVD
Uri: The Surgical Strike,Aditya Dhar,DVD
Die Hard,John McTiernan,DVD
Kurenai no buta,Hayao Miyazaki,DVD
The Lord of the Rings: The Two Towers,Peter Jackson,DVD
Avengers: Endgame,Anthony Russo,DVD
The Lego Movie,Christopher Miller,DVD
Ed Wood,Tim Burton,DVD
The Incredibles,Brad Bird,DVD
Trois couleurs: Blanc,Krzysztof Kieslowski,DVD
The Treasure of the Sierra Madre,John Huston,DVD
Dead Man's Shoes,Shane Meadows,DVD
Låt den rätte komma in,Tomas Alfredson,DVD
Boyz n the Hood,John Singleton,DVD
Sanjuro,Akira Kurosawa,DVD
Ace in the Hole,Billy Wilder,DVD
Dirty Harry,Don Siegel,DVD
Kaze tachinu,Hayao Miyazaki,DVD
Les quatre cents coups,François Truffaut,DVD
Slumdog Millionaire,Danny Boyle,DVD
Harry Potter and the Half-Blood Prince,David Yates,DVD
Le salaire de la peur,Henri-Georges Clouzot,DVD
Harold and Maude,Hal Ashby,DVD
King Kong,Merian C. Cooper,DVD
Airlift,Raja Menon,DVD
Paan Singh Tomar,Tigmanshu Dhulia,DVD
The Invisible Man,James Whale,DVD
A Few Good Men,Rob Reiner,DVD
The Matrix,Lana Wachowski,DVD
Happiness,Todd Solondz,DVD
Bohemian Rhapsody,Bryan Singer,DVD
Vampire Hunter D: Bloodlust,Yoshiaki Kawajiri,DVD
Les diaboliques,Henri-Georges Clouzot,DVD
Toy Story 2,John Lasseter,DVD
The Green Mile,Frank Darabont,DVD
Toy Story,John Lasseter,DVD
Big Hero 6,Don Hall,DVD
La Vie En Rose,Olivier Dahan,DVD
