Series_Title,Director,type
Harry Potter and the Deathly Hallows: Part 2,David Yates,VHS
Coco,Lee Unkrich,VHS
Serenity,Joss Whedon,VHS
Goodfellas,Martin Scorsese,VHS
Le locataire,Roman Polanski,VHS
Yip Man,Wilson Yip,VHS
Ghostbusters,Ivan Reitman,VHS
The 39 Steps,Alfred Hitchcock,VHS
What Ever Happened to Baby Jane?,Robert Aldrich,VHS
Whiplash,Damien Chazelle,VHS
The Departed,Martin Scorsese,VHS
Nosferatu,F.W. Murnau,VHS
Kick-Ass,Matthew Vaughn,VHS
Mary and Max,Adam Elliot,VHS
"Lock, Stock and Two Smoking Barrels",Guy Ritchie,VHS
Heat,Michael Mann,VHS
Dog Day Afternoon,Sidney Lumet,VHS
Sweet Smell of Success,Alexander Mackendrick,VHS
Les yeux sans visage,Georges Franju,VHS
Papurika,Satoshi Kon,VHS
Inside Man,Spike Lee,VHS
The Hurricane,Norman Jewison,VHS
Contratiempo,Oriol Paulo,VHS
White Heat,Raoul Walsh,VHS
Bridge of Spies,Steven Spielberg,VHS
La vie d'Adèle,Abdellatif Kechiche,VHS
The King of Comedy,Martin Scorsese,VHS
Trois couleurs: Rouge,Krzysztof Kieslowski,VHS
Night of the Living Dead,George A. Romero,VHS
Fargo,Joel Coen,VHS
The Ten Commandments,Cecil B. DeMille,VHS
Flipped,Rob Reiner,VHS
The Jungle Book,Wolfgang Reitherman,VHS
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",Hideaki Anno,VHS
Falling Down,Joel Schumacher,VHS
JFK,Oliver Stone,VHS
Beasts of No Nation,Cary Joji Fukunaga,VHS
Room,Lenny Abrahamson,VHS
The Usual Suspects,Bryan Singer,VHS
The Hangover,Todd Phillips,VHS
Once,John Carney,VHS
Gandhi,Richard Attenborough,VHS
Manhattan,Woody Allen,VHS
Requiem for a Dream,Darren Aronofsky,VHS
"4 luni, 3 saptamâni si 2 zile",Cristian Mungiu,VHS
Willy Wonka & the Chocolate Factory,Mel Stuart,VHS
Waking Life,Richard Linklater,VHS
All the President's Men,Alan J. Pakula,VHS
À bout de souffle,Jean-Luc Godard,VHS
Little Miss Sunshine,Jonathan Dayton,VHS
Festen,Thomas Vinterberg,VHS
Zelig,Woody Allen,VHS
Per qualche dollaro in più,Sergio Leone,VHS
Bãhubali: The Beginning,S.S. Rajamouli,VHS
The Wild Bunch,Sam Peckinpah,VHS
Dawn of the Dead,George A. Romero,VHS
The Curious Case of Benjamin Button,David Fincher,VHS
A Bronx Tale,Robert De Niro,VHS
Ladri di biciclette,Vittorio De Sica,VHS
Lost Highway,David Lynch,VHS
The Breakfast Club,John Hughes,VHS
The Prestige,Christopher Nolan,VHS
Bound by Honor,Taylor Hackford,VHS
The Invisible Man,James Whale,VHS
The Dirty Dozen,Robert Aldrich,VHS
Gran Torino,Clint Eastwood,VHS
Badhaai ho,Amit Ravindernath Sharma,VHS
Lola rennt,Tom Tykwer,VHS
The Lost Weekend,Billy Wilder,VHS
Omohide poro poro,Isao Takahata,VHS
Empire of the Sun,Steven Spielberg,VHS
Who Framed Roger Rabbit,Robert Zemeckis,VHS
Gisaengchung,Bong Joon Ho,VHS
Million Dollar Baby,Clint Eastwood,VHS
Spartacus,Stanley Kubrick,VHS
Le charme discret de la bourgeoisie,Luis Buñuel,VHS
La battaglia di Algeri,Gillo Pontecorvo,VHS
Zombieland,Ruben Fleischer,VHS
Les diaboliques,Henri-Georges Clouzot,VHS
Stagecoach,John Ford,VHS
Rushmore,Wes Anderson,VHS
The Killing,Stanley Kubrick,VHS
Pan's Labyrinth,Guillermo del Toro,VHS
La passion de Jeanne d'Arc,Carl Theodor Dreyer,VHS
About Time,Richard Curtis,VHS
Isle of Dogs,Wes Anderson,VHS
Saving Private Ryan,Steven Spielberg,VHS
Gully Boy,Zoya Akhtar,VHS
Incendies,Denis Villeneuve,VHS
Frankenstein,James Whale,VHS
Home Alone,Chris Columbus,VHS
The Fighter,David O. Russell,VHS
Diarios de motocicleta,Walter Salles,VHS
Joker,Todd Phillips,VHS
Udaan,Vikramaditya Motwane,VHS
1917,Sam Mendes,VHS
Badlands,Terrence Malick,VHS
Der Himmel über Berlin,Wim Wenders,VHS
Sholay,Ramesh Sippy,VHS
The Fugitive,Andrew Davis,VHS
Captain America: Civil War,Anthony Russo,VHS
Peeping Tom,Michael Powell,VHS
Shine,Scott Hicks,VHS
Låt den rätte komma in,Tomas Alfredson,VHS
Aladdin,Ron Clements,VHS
M - Eine Stadt sucht einen Mörder,Fritz Lang,VHS
X: First Class,Matthew Vaughn,VHS
The Thing,John Carpenter,VHS
Key Largo,John Huston,VHS
A Little Princess,Alfonso Cuarón,VHS
Relatos salvajes,Damián Szifron,VHS
Almost Famous,Cameron Crowe,VHS
The Man Who Shot Liberty Valance,John Ford,VHS
This Is England,Shane Meadows,VHS
Akira,Katsuhiro Ôtomo,VHS
Hot Fuzz,Edgar Wright,VHS
Gone Baby Gone,Ben Affleck,VHS
Koe no katachi,Naoko Yamada,VHS
The Shining,Stanley Kubrick,VHS
Love and Death,Woody Allen,VHS
The Others,Alejandro Amenábar,VHS
Sling Blade,Billy Bob Thornton,VHS
Vivre sa vie: Film en douze tableaux,Jean-Luc Godard,VHS
The Revenant,Alejandro G. Iñárritu,VHS
"Paris, Texas",Wim Wenders,VHS
Serbuan maut 2: Berandal,Gareth Evans,VHS
Batman Begins,Christopher Nolan,VHS
Le salaire de la peur,Henri-Georges Clouzot,VHS
Dead Man,Jim Jarmusch,VHS
Hana-bi,Takeshi Kitano,VHS
Wreck-It Ralph,Rich Moore,VHS
Jagten,Thomas Vinterberg,VHS
Tengoku to jigoku,Akira Kurosawa,VHS
The Innocents,Jack Clayton,VHS
The Wolf of Wall Street,Martin Scorsese,VHS
Hiroshima mon amour,Alain Resnais,VHS
Dawn of the Planet of the Apes,Matt Reeves,VHS
Kimi no na wa.,Makoto Shinkai,VHS
K.G.F: Chapter 1,Prashanth Neel,VHS
The Apartment,Billy Wilder,VHS
Star Trek II: The Wrath of Khan,Nicholas Meyer,VHS
Terminator 2: Judgment Day,James Cameron,VHS
Airlift,Raja Menon,VHS
The Lego Movie,Christopher Miller,VHS
Dogville,Lars von Trier,VHS
The Adventures of Robin Hood,Michael Curtiz,VHS
Control,Anton Corbijn,VHS
Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,VHS
The Lady Vanishes,Alfred Hitchcock,VHS
The Kid,Charles Chaplin,VHS
Das Cabinet des Dr. Caligari,Robert Wiene,VHS
Abre los ojos,Alejandro Amenábar,VHS
Lage Raho Munna Bhai,Rajkumar Hirani,VHS
